smiles,score
Fc1cccc(C2(c3nnc(Cc4cccc5ccccc45)o3)CCOCC2)c1,-9.9
O=C(NCc1ccnc(Oc2ccc(F)cc2)c1)c1[nH]nc2c1CCCC2,-9.9
Cc1ccccc1CC(=O)N1CCN(CC(=O)N2Cc3ccccc3C(c3ccccc3)C2)CC1,-9.9
O=C(Nc1cc2c(cn1)CCCC2)N1CCCC1c1ccc(O)cc1,-9.9
NC(=O)C1CCN(C(=O)CCc2c(-c3ccc(F)cc3)[nH]c3ccccc23)C1,-9.9
O=C(NC1CCCCNC1=O)c1cc2ccccc2c2cccnc12,-9.9
O=C(Cc1ccc(-n2cccn2)cc1)N1CCC(c2nnc3ccccn23)CC1,-9.9
Cn1nc(CC(=O)Nc2ccc3oc4ccccc4c3c2)c2ccccc2c1=O,-9.9
O=C(NCC(c1ccccc1)c1ccccc1)N1CCc2ccc(O)cc2C1,-9.9
O=C(NCc1ccc(Cn2ccccc2=O)cc1)c1ccccc1CCc1ccccc1,-9.9
NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccc2c(c1)Cc1ccccc1-2,-9.9
Cc1cc(C(=O)NCc2cccc(NC(=O)CCN3CCOCC3)c2)ccc1-n1cnnn1,-9.9
CNC(=O)c1cccc(CNC(=O)c2ccc3c4c(cccc24)CC3)c1,-9.9
CN(CC1COc2ccccc2O1)C(=O)NC(Cn1cnc2ccccc21)c1ccc(F)cc1,-9.9
O=C(C1CCCCC1)N1CC(c2nc(-c3ccc4c(c3)CCC4)no2)C1,-9.9
O=C(c1ccc(Cl)cc1)N1CCCN(C(=O)c2ccc3[nH]c(=O)[nH]c3c2)CC1,-9.9
O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1ccc2cc[nH]c(=O)c2c1,-9.9
O=C(c1ccc(O)cc1)C1CCN(C(=O)NC2COc3ccccc32)CC1,-9.9
NC(=O)c1cccc(CNS(=O)(=O)c2ccc3c4c(cccc24)CC3)c1,-9.9
O=C(Cc1cnc2ccccc2c1)N1CCC(c2nnc3n2CCC3)CC1,-9.9
CC(C(=O)Nc1n[nH]c(Cc2cccc(F)c2)n1)n1nnc(-c2ccccc2)n1,-9.9
NC(=O)C(c1ccc(F)cc1)N1C[C@H]2CCC[C@@]2(c2nc(-c3cnccn3)no2)C1,-9.9
O=C(CCc1ccc(O)cc1)N1CCCC(c2noc(C3CC3)n2)C1,-9.9
Cc1ccc(NC(=O)c2ccc3[nH]c4ccc(F)cc4c(=O)c3c2)cc1,-9.9
O=C(c1ccc2c(c1)CNC2)N1CCc2c(cccc2C(F)(F)F)C1,-9.9
Cc1ccc(OCC(=O)N2CCN(CC(=O)N3CCc4sccc4C3c3ccccc3)CC2)cc1,-9.9
NC(=O)C1CCN(C(=O)CCc2c(-c3ccccc3)[nH]c3ccc(F)cc23)C1,-9.9
COc1ccnc(N2CCN(C(=O)c3cc4ccccc4c4cccnc34)CC2)n1,-9.9
O=C(Nc1n[nH]c2ccc(F)cc12)C1(c2ccccc2)CCOCC1,-9.9
Cc1cc(NC(=O)CN2CCN(C(=O)C3CCCc4ccccc43)CC2)no1,-9.9
C[C@@H](NC(=O)NCc1noc2c1CCCC2)c1cccc2ccccc12,-9.9
O=C(Cc1c[nH]c2ccccc12)N1CCN(C(=O)c2cc3ccccc3[nH]c2=O)CC1,-9.9
O=C(NCCc1nnc2n1CCCCC2)NC1CCc2ccccc2C1,-9.9
O=C(Cc1ccc2ccccc2c1)NC(CN1CCCC1=O)c1ccccc1,-9.9
O=C(N1CCCC1)N1CCCC(c2nc(-c3ccc4ccccc4c3)no2)C1,-9.9
COc1ccccc1-c1cccc(NC(=O)N2CC(S(=O)(=O)c3ccccc3F)C2)c1,-9.9
O=C1NCCCCC1Cc1nc(-c2cccc(CN3CCCC3=O)c2)no1,-9.9
O=C(O)c1ccc(-c2nc(CN3CCCC(n4cncn4)C3)cs2)cc1,-9.9
c1cc2c(cc1Cc1noc(C3CCCc4[nH]nnc43)n1)CCO2,-9.9
CN1CCC(n2nnc3c2CC(c2nc(Cc4cccc(F)c4)no2)CC3)CC1,-9.9
Fc1ccc(-c2ccnc(C3CCN(Cc4nnc5n4CCOC5)CC3)n2)cc1,-9.9
Cc1ncc(CN2Cc3ccccc3CC2C(=O)NCCc2ccc(F)cc2)o1,-9.9
O=C(c1coc(CN2CCC(O)C2)n1)N1CCC=C(c2ccccc2)C1,-9.9
O=C(c1c[nH]nc1[N+](=O)[O-])N1CCC(c2nc(-c3ccccc3)no2)(C(F)(F)F)C1,-9.9
O=C(Cc1cccc(C(=O)O)c1)NC[C@@H]1CCO[C@H]1c1ccc(F)cc1,-9.9
Cc1ccc(C(=O)NCCNC(=O)c2ccccc2C(=O)c2ccccc2)cc1F,-9.9
O=C(O)COc1ccc(C(=O)N2CCC(Nc3ccc(F)cc3)CC2)cc1,-9.9
O=C1COCCN1CC(=O)N1CCC(c2nc(-c3cccc(F)c3)no2)(C(F)(F)F)C1,-9.9
Cn1c(=O)ccc2ccc(NC(=O)N3CCCC(c4ccc(F)c(F)c4)C3)cc21,-9.9
O=C(NC(Cc1ccccc1)C(=O)O)c1ccc(CN(Cc2ccccc2)S(=O)(=O)c2ccc(Cl)cc2)cc1,-9.9
O=C(c1cccc(-c2ncn[nH]2)c1)N1CCCC(n2ccnn2)CC1,-9.9
O=C(O)c1ccc2c(c1)C(CNC(=O)c1cocn1)CCC2,-9.9
FC(F)(F)C1(c2nc(-c3cccnc3)no2)CCN(c2nccn3nnnc23)C1,-9.9
O=C(O)c1ccc(-c2nc(CN3CCCC(n4ccnn4)C3)cs2)cc1,-9.9
O=C(NCC1CCCC1c1ccccc1)N1CCOC2(CCOCC2)C1,-9.9
O=C(C1CCc2[nH]nnc2C1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,-9.9
Cc1cc(NC(=O)N2CCCC(c3ccnc(N)n3)C2)nn1-c1cccc(F)c1,-9.9
Cc1ccc(C2(CNC(=O)N3CCCC(n4cc(CO)nn4)C3)CCC2)cc1C,-9.9
O=C(Cc1ccc(C(=O)O)cc1)NCC1CCCc2ccccc21,-9.9
O=C(NCc1ccc2c(n1)CCCC2)N1CC2(CCOCC2)C1c1ccccc1,-9.9
Cc1cc(F)cc(-n2nc(C(=O)N3CCC4(CNC(=O)C4)C3)c3c2CCC3)c1,-9.9
O=C(NCC(C(=O)O)c1ccc(F)cc1)c1cccc(C2CCOC2)c1,-9.9
Cc1ccc(CNC(=O)N2CCCC(n3cc(CO)nn3)C2)c2ccccc12,-9.9
Cn1c(-c2nc(-c3ccc4[nH]nnc4c3)no2)cc2ccccc2c1=O,-9.9
O=C(NC1CCN(Cc2ccc(F)cc2)CC1)N1CCCC(c2ccccc2)C1,-9.9
O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)C1(c2cccc(F)c2)CCOCC1,-9.9
O=C(c1cn(C2CCCNC2)nn1)N1CCc2c(-c3ccccc3)cccc21,-9.9
O=C(Cn1ccc(=O)c2ccccc21)N1CCc2c(nnn2-c2ccccc2)C1,-9.9
O=C(c1ccnc(-n2cccn2)c1)N1CCC(Cc2nc3ccccc3[nH]2)CC1,-9.9
