smiles,ld50_zhu
[O-][N+](=Nc1ccccc1)c1ccccc1,2.505
BrC(Br)Br,2.343
C=CBr,2.33
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
S=C=Nc1ccc(Br)cc1,2.729
O=c1[nH]c2ccc(Br)cc2o1,2.33
Brc1ccccc1,1.765
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21
Brc1nc(Br)c(Br)[nH]1,3.952
BrCBr,3.207
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839
BrCC=CCBr,3.455
BrCCBr,3.24
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209
C#CCCCC#C,1.6030000000000002
C#CCOCC#C,2.242
C(CC1CO1)OCCC1CO1,2.17
C(CCC1CO1)CC1CO1,2.124
c1ccc(COCc2ccccc2)cc1,1.899
C(OCC1CO1)C1CO1,2.461
C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961
C[Si](Cl)(Cl)CCCC#N,1.809
C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968
C=C1CC(=O)O1,2.176
C=CC#N,2.833
C=CC(=O)NCNC(=O)C=C,2.597
C=CC(=O)OC1CC2CCC1C2,1.4680000000000002
C=CC(=O)OCC1CO1,2.785
C=CC(=O)OCCC#N,2.842
C=CC(=O)OCCOC(=O)C=C,2.754
C=CC(=O)OCCOc1ccccc1,1.569
C=CC(=O)OCCOCCC#N,2.1790000000000003
C=CC(=O)OCCOCCOC(=O)C=C,2.729
C=CC=C,0.994
C=CC=CC=C,2.582
C=CC=NNc1ccccc1,2.32
C=CC=O,3.0860000000000003
C=Cc1ccccc1,1.319
C=Cc1ccccn1,3.022
C=Cc1ccncc1,3.022
C=CC1CC2C=CC1C2,1.44
C=CC1CCC(C=C)OC1,1.75
C=CC1CC=CCC1,1.625
C=CC1CCC2OC2C1,1.793
C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002
C=CCC#N,2.766
C=CCc1ccc2c(c1)OCO2,1.92
C=CCc1cccc(CC=C)c1OCC1CO1,1.71
C=CCC1CC(=O)OC1=O,2.117
C=CCCC=O,2.132
C=CCN(CC=C)CC=C,2.125
C=CCN(CC=C)N=O,2.198
C=CCN=C=S,2.947
C=CCNCC=C,2.226
C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003
C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505
C=CCOC(=O)Cc1ccccc1,2.4330000000000003
C=CCOC(=O)CC1CCCCC1,2.306
C=CCOC(=O)CCC1CCCCC1,2.526
C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256
C=CCOC=C,2.185
C=CCOC=O,2.842
C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335
C=CCOC1CC2CC1CC2OCC=C,1.747
C=CCOCC=C,2.487
C=CCOCCC#N,1.932
C=CN1CC1,2.895
C=CN1CCCC1=O,1.879
C=COC(=O)c1ccccc1,1.659
C=COC=O,1.4069999999999998
C=COCCOCCOC=C,1.6269999999999998
C=CS(=O)(=O)C=C,3.567
C=O,1.574
c1cc(-c2ccncc2)ccn1,2.958
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327
c1ccc(-c2ccccc2)cc1,1.808
c1ccc(N=Nc2ccccc2)cc1,2.261
c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574
c1ccc(-c2ccccn2)nc1,3.194
c1ccc2cnccc2c1,2.555
c1ccccc1,1.3730000000000002
c1ccncc1,1.948
c1ccc2c(c1)-c1cccc3cccc-2c13,2.005
c1ccc2ncccc2c1,2.591
c1cc2ccc3cccc4ccc(c1)c2c34,1.875
c1ccc2ccccc2c1,2.418
C1=CC=CCC=C1,3.209
C1=CC2C3C=CC(C3)C2C1,2.573
C1=CCC2CC=CC2C1,1.508
C1=CC2C=CC1C2,2.015
C1C2CC3OC3C2CC2OC12,1.852
C1C2OC2C2C1C1CC2C2OC12,2.893
C1=CCC(C2CC3C=CC2C3)CC1,1.609
C1=CCCC1,1.614
C1CC2CC1C1SSSC21,2.802
C1CC2CC1CC2CNCC1CC2CCC1C2,2.219
C1CC2OC2C1OC1CCC2OC12,1.93
C1CC2OC2CC1C1CO1,1.818
C1CCC(OC2CCCC2)C1,2.516
c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124
C1CCC(NC2CCCCC2)CC1,2.687
c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2.276
c1ccc2c(c1)CCCC2,1.665
C1CCC2CCCCC2C1,1.521
C1CCC2OC2C1,1.954
C1CCCCC1,0.821
C1CCCNCC1,2.384
C1CCN2CC3CC(CN4CCCCC34)C2C1,2.388
C1CCc2nnnn2CC1,2.994
C1CCNCC1,2.3280000000000003
C1CCOC1,1.408
c1ccc(N2CCNCC2)cc1,2.888
c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,3.599
c1ccc(N2CCOCC2)cc1,2.244
c1ccc2sc(SN3CCOCC3)nc2c1,2.105
c1cncc(C2=NCCC2)c1,1.892
C1CN1,3.458
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119
C1CNCCN1,1.656
C1CNCCNC1,1.5490000000000002
C1CO1,2.787
C1COC(OCC2CO2)C(OCC2CO2)O1,2.337
C1COCCN1,1.919
C1COCCOCCOCCO1,1.794
C1COCCOCCOCCOCCO1,2.194
C1COCCOCCOCCOCCOCCO1,2.279
C1COCO1,1.393
C1CS1,2.529
C1CSCCO1,1.5659999999999998
c1cc2c(cc1C1CO1)O2,1.676
c1ccc(C2CO2)cc1,1.779
C1OC1C1CO1,3.043
c1cc(CC2CO2)cc(CC2CO2)c1,1.6569999999999998
c1ccc(N(CC2CO2)CC2CO2)cc1,2.103
c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,2.209
c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937
c1ccc2c(c1)OCO2,2.323
CBr,2.647
CC#N,1.177
C=C(C)C#N,2.747
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107
C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536
C=CCOC(=O)C(=C)C,2.467
C=C(C)C(=O)OCC1CO1,2.377
C=C(C)C(=O)OCCCl,2.8710000000000004
C=C(C)C(C)=O,2.67
C=C(C)C(OC(C)=O)OC(C)=O,2.593
C=C(C)c1ccccc1,1.382
C=C(C)C1CC=C(C)C(=O)C1,4.607
C=C(C)C1CC=C(C)C(O)C1,1.705
C=C(C)C1CC=C(C)CC1,1.491
C=C(C)C1CC=C(CO)CC1,1.86
C=C(C)CC#N,2.177
C=C(C)OC(C)=O,1.523
CC(=CC(=O)O)C(=O)O,1.994
CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,5.006
CC(=O)C(C)(C)C,2.215
CC(=O)C(C)=O,1.736
C=CC(C)=O,3.369
CC(=O)C=CC1=C(C)CCCC1(C)C,1.622
CC(=O)C=CC1C(C)=CCCC1(C)C,1.622
CC(=O)C=O,1.791
CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971
CC(=O)c1cccc2ccccc12,2.0380000000000003
CC(=O)c1ccc(C)cc1,1.982
CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,2.465
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.812
CC(=O)c1ccc(N)cc1,2.55
CC(=O)c1ccc(O)cc1O,1.73
CC(=O)c1cccc([N+](=O)[O-])c1,1.706
CC(=O)c1cccc(N)c1,1.859
CC(=O)c1ccccc1,2.169
CC(=O)c1ccccc1Cl,1.929
CC(=O)c1ccccc1[N+](=O)[O-],2.014
CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,1.57
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,3.022
CC(=O)C1C(=O)C=C(C)OC1=O,2.527
CC(=O)C1OC1(C)C,1.851
CC(=O)CC(=O)Nc1ccccc1,1.581
C=CC(=O)NC(C)(C)CC(C)=O,1.927
CC(=O)CC(C)(C)O,1.463
CC(=O)CC(C)=O,3.26
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263
CC(=O)CCC(C)=O,1.74
CC(=O)CCC(=O)O,1.798
CC(=O)CCc1ccc(O)cc1,2.095
CC(=O)CCc1ccc(OC(C)=O)cc1,1.832
CC(=O)CCc1ccccc1,1.666
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.651
CC(=O)CCl,2.966
CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982
CC(=O)CO,1.527
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505
CC(=O)N1CCOCC1,1.324
CC(=O)NC(=O)C(Cl)(Cl)Cl,1.819
CC(=O)NC(=O)c1ccccc1O,1.952
CC(=O)NC(CS)C(=O)O,1.509
CC(=O)NC(N)=S,3.373
CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06
CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993
CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142
CC(=O)Nc1ccc(O)cc1,1.7990000000000002
CC(=O)Nc1ccccc1,2.228
CC(=O)Nc1ccncc1,2.485
CC(=O)NNC(=O)c1ccccn1,2.425
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,2.029
C=C(C#N)OC(C)=O,3.0460000000000003
C=CC(=C)CCCC(C)(C)OC(C)=O,1.494
CC(=O)OC(C)=O,1.759
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595
C=C(Cl)C(OC(C)=O)OC(C)=O,2.779
CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855
C=CC(OC(C)=O)OC(C)=O,3.655
C=COC(C)=O,1.47
C=CC=COC(C)=O,2.198
CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,2.189
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848
CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,3.658
CC(=O)Oc1ccccc1C(N)=O,1.998
CC(=O)Oc1ccccc1C=CC(=O)O,1.816
CC(=O)Oc1ccc(C)cc1,1.898
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,2.948
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,1.717
CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15
CC(=O)Oc1ccccc1,1.922
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947
CC(=O)OC1CCC(C(C)(C)C)CC1,1.598
CC(=O)OC1CCCCC1,1.325
CC(=O)OCC#N,3.491
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,4.548
CC(=O)OCC(COC(C)=O)OC(C)=O,1.862
C=CCOC(C)=O,2.887
CC(=O)OCC=C(C)C,1.631
C=CCOC=CCOC(C)=O,1.622
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,1.413
CC(=O)OCc1ccc2c(c1)OCO2,1.966
CC(=O)OCc1ccccc1,1.78
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,1.491
CC(=O)OCCc1ccccc1,1.651
CC(=O)OCCC1=CCC2CC1C2(C)C,1.842
CC(=O)OCCC1CCCCC1,1.726
CC(=O)OCCN(CCOC(C)=O)N=O,1.64
CC(=O)OCCO,1.101
CC(=O)OCCOC(C)=O,1.329
CC(=O)OCCOCCOCCOC(C)=O,1.016
CC(=O)OCCS(=O)(=O)CCOC(C)=O,1.231
CC(=O)OCCSCCOC(C)=O,1.401
CC(=O)OO,1.694
CC(=S)Nc1ccccc1,1.759
CC(Br)(CCl)CBr,2.506
CC(Br)CBr,2.276
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.121
CC(C#N)N1CCOCC1,3.207
CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],2.617
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,2.8560000000000003
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.443
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,3.567
CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,2.96
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.525
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,3.158
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.568
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3.408
CC(C)(C#N)C(C)(C)C#N,3.544
CC(C)(C(=O)c1cccnc1)c1cccnc1,2.638
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,2.459
CC(C)(C)C(=O)O,2.055
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,2.633
CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,3.002
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.588
CC(C)(C)c1ccc(O)c(O)c1,1.77
CC(C)(C)c1ccc(C(=O)O)cc1,2.406
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.975
CC(C)(C)c1ccc(O)cc1,1.707
CC(C)(C)c1ccc(C(=O)OCC(Cl)(Cl)Cl)o1,1.874
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374
CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,2.157
CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,2.774
CC(C)(C)C1CCC(=O)CC1,1.489
CC(C)(C)CC1(C)CO1,1.416
CC(C)(C)N,2.972
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2.559
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,2.362
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,1.766
CC(C)(C)O,1.3259999999999998
CC(C)(C)OOC(=O)c1ccccc1,2.283
CC(C)(C)S,1.28
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.847
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.491
CC(C)(CO)C(O)C#N,2.62
C=CC(=O)OCC(C)(C)COC(=O)C=C,1.499
CC(C)(COC(N)=O)COC(N)=O,1.88
CC1(N)CCC(C(C)(C)N)CC1,2.384
CC(C)(N)Cc1ccc(Cl)cc1,2.866
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.659
C#CC(C)(C)O,1.635
C=CC#CC(C)(C)O,2.264
CC(C)(O)c1ccccc1,2.02
CC(C)(O)CC(C)(O)c1ccc(Cl)cc1,2.302
CC(C)(O)Cc1ccccc1,2.07
C=CC(=C)CCCC(C)(C)O,1.464
CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,2.5380000000000003
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.946
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2.379
CC(C)(OO)c1ccccc1,2.6
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1.819
CC(C)(S)C(N)C(=O)O,1.384
CC(C)=CC(C)=NNc1nncc2ccccc12,2.588
CC(=O)C=C(C)C,1.943
CC(C)=CC(=O)O,1.449
CC(C)=CC1C(=O)OC(=O)C1(C=C(C)C)C=C(C)C,2.446
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.546
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,3.1010000000000004
CC(C)=CCC(CCN1CCOCC1)(C(N)=O)c1cccc2ccccc12,3.3160000000000003
CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.378
C=CC(C)(O)CCC=C(C)C,1.743
CC(C)=CCCC(C)=CC=O,1.487
CC(C)=CCCC(C)=CCCC(C)=CCO,1.569
CC(C)=CCCC(C)=CCO,1.535
CC(C)=CCN(CC=C(C)C)CCC(C(N)=O)c1cccc2ccccc12,3.014
CC(C)=CCO,2.027
CC(C)=CCOC(=O)c1ccccc1O,1.809
CC(C)=CCOC(=O)c1ccccc1,1.607
CC(C)=O,1.001
CC(C)C#N,3.141
CC(C)C(=O)N(C)C(=O)Oc1cccc(C(C)C)c1,2.62
Cc1ccc(OC(=O)C(C)C)cc1,1.649
CC(C)C(=O)OCc1ccccc1,1.796
CC(C)C(Br)C(=O)NC(N)=O,2.3480000000000003
CC(C)C(Br)C(=O)OCC(Br)(Br)Br,1.95
CC(C)C(Br)C(=O)OCC(Cl)(Cl)Cl,2.319
CC(C)C(Br)C(=O)O,2.372
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,3.777
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,3.829
CC(=O)C(C)C,2.765
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3.85
CC(C)C(=O)O,2.498
CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,1.794
CC1=CCC(O)(C(C)C)CC1,2.074
CC1=C(C(C)C)CC=CC1,1.504
